iter	Accuracy	Logloss
399	0.8412921348	0.3831671433
400	0.8412921348	0.382754679
401	0.8412921348	0.3827542212
402	0.8412921348	0.3827167577
403	0.8412921348	0.3827116544
404	0.8412921348	0.382688219
405	0.8426966292	0.3822917179
406	0.8426966292	0.382230296
407	0.8426966292	0.3822123772
408	0.8426966292	0.3819664667
409	0.8426966292	0.381942738
410	0.8426966292	0.3817272832
411	0.8426966292	0.3816907293
412	0.8426966292	0.381510855
413	0.8426966292	0.3814165027
414	0.8426966292	0.3812004148
415	0.8426966292	0.3811645873
416	0.8426966292	0.3811637303
417	0.8426966292	0.3809873429
418	0.8426966292	0.3809111343
419	0.8426966292	0.3808509943
420	0.8426966292	0.3808505768
421	0.8426966292	0.3806417001
422	0.8426966292	0.3805831278
423	0.8426966292	0.3804954311
424	0.8426966292	0.3804357961
425	0.8426966292	0.3804162431
426	0.8426966292	0.3801730171
427	0.8426966292	0.3799872343
428	0.8426966292	0.3797460464
429	0.8426966292	0.3796700004
430	0.8426966292	0.3796692715
431	0.8426966292	0.3796677706
432	0.8426966292	0.3795691415
433	0.8426966292	0.3795108294
434	0.8426966292	0.3794594754
435	0.8426966292	0.3790676466
436	0.8426966292	0.3788202585
437	0.8426966292	0.3787973586
438	0.8441011236	0.3785752097
439	0.8441011236	0.3785719814
440	0.8441011236	0.3784204841
441	0.8441011236	0.3782739832
442	0.8441011236	0.3781372161
443	0.8441011236	0.377905542
444	0.8441011236	0.37764558
445	0.8441011236	0.377631146
446	0.845505618	0.3775265361
447	0.845505618	0.3775181803
448	0.845505618	0.3774077578
449	0.845505618	0.3773765228
450	0.845505618	0.3773760628
451	0.845505618	0.3773562919
452	0.8469101124	0.377278219
453	0.845505618	0.3772589007
454	0.845505618	0.3772176435
455	0.8469101124	0.3770169414
456	0.8469101124	0.3768326512
457	0.8469101124	0.3766641561
458	0.8469101124	0.3766578563
459	0.8469101124	0.3765091561
460	0.8469101124	0.376495905
461	0.8469101124	0.3764410401
462	0.8469101124	0.3764390728
463	0.8469101124	0.3762867075
464	0.8469101124	0.3762374346
465	0.8469101124	0.3761557328
466	0.8469101124	0.376148207
467	0.8469101124	0.3759244203
468	0.8469101124	0.3759227995
469	0.8469101124	0.3758600889
470	0.8469101124	0.3757295254
471	0.8469101124	0.3756694638
472	0.8469101124	0.3756683663
473	0.8469101124	0.3756663367
474	0.8469101124	0.3756420907
475	0.8469101124	0.3752671459
476	0.8469101124	0.3752271159
477	0.8469101124	0.3751748749
478	0.8469101124	0.3746755771
479	0.8483146067	0.3743547971
480	0.8483146067	0.3742376598
481	0.8483146067	0.3741741934
482	0.8483146067	0.3737920102
483	0.8483146067	0.3737649061
484	0.8483146067	0.3735832844
485	0.8483146067	0.3735782339
486	0.8483146067	0.3732727488
487	0.8483146067	0.3732538055
488	0.8483146067	0.3732346083
489	0.8483146067	0.373118725
490	0.8483146067	0.3730987372
491	0.8483146067	0.3729965225
492	0.8483146067	0.3729323203
493	0.8483146067	0.3728795139
494	0.8483146067	0.3727957305
495	0.8483146067	0.3726347255
496	0.8483146067	0.3724966298
497	0.8483146067	0.3723945146
498	0.8483146067	0.3723884949
499	0.8483146067	0.3723108402
500	0.8483146067	0.3721039817
501	0.8497191011	0.3714975013
502	0.8497191011	0.3710798121
503	0.8497191011	0.3710759518
504	0.8497191011	0.3710253213
505	0.8497191011	0.3708233195
506	0.8497191011	0.3708193769
507	0.8497191011	0.3706497287
508	0.8497191011	0.3705255709
509	0.8497191011	0.3704277232
510	0.8497191011	0.3703367333
511	0.8497191011	0.3700058458
512	0.8497191011	0.3699827761
513	0.8497191011	0.3696810323
514	0.8497191011	0.3694027608
515	0.8497191011	0.3692626376
516	0.8497191011	0.3691273973
517	0.8497191011	0.3690004733
518	0.8497191011	0.3689827448
519	0.8497191011	0.3688832123
520	0.8497191011	0.3688282109
521	0.8497191011	0.3687949961
522	0.8497191011	0.3687344348
523	0.8497191011	0.3686075024
524	0.8497191011	0.3683443609
525	0.8497191011	0.3683093704
526	0.8497191011	0.3682128539
527	0.8497191011	0.3678289686
528	0.8497191011	0.3678186537
529	0.8497191011	0.3674822383
530	0.8497191011	0.367123385
531	0.8497191011	0.3671230614
532	0.8497191011	0.3669950735
533	0.8497191011	0.3667234214
534	0.8497191011	0.3666395725
535	0.8497191011	0.3662936544
536	0.8497191011	0.3660759084
537	0.8497191011	0.3658635215
538	0.8497191011	0.3657561473
539	0.8497191011	0.3656718088
540	0.8497191011	0.3654977923
541	0.8497191011	0.3654314133
542	0.8497191011	0.3652308968
543	0.8497191011	0.3649752972
544	0.8497191011	0.3648784892
545	0.8497191011	0.3644358377
546	0.8497191011	0.3644342424
547	0.8497191011	0.3642813186
548	0.8497191011	0.3641854763
549	0.8511235955	0.3640916609
550	0.8511235955	0.3638778584
551	0.8511235955	0.3638251267
552	0.8511235955	0.3636127557
553	0.8511235955	0.3633673039
554	0.8511235955	0.3633606952
555	0.8511235955	0.3633588664
556	0.8511235955	0.3633545518
557	0.8511235955	0.3632093406
558	0.8511235955	0.3630448145
559	0.8511235955	0.3628251766
560	0.8511235955	0.3627971017
561	0.8511235955	0.3626060988
562	0.8511235955	0.3622388725
563	0.8511235955	0.3620736872
564	0.8511235955	0.3619074523
565	0.8511235955	0.3618085324
566	0.8511235955	0.3617616218
567	0.8511235955	0.3615458932
568	0.8511235955	0.3613789683
569	0.8511235955	0.3613477461
570	0.8511235955	0.361202311
571	0.8511235955	0.3610909262
572	0.8511235955	0.3610766481
573	0.8525280899	0.3609244371
574	0.8525280899	0.360715455
575	0.8525280899	0.3607029089
576	0.8525280899	0.3605545644
577	0.8525280899	0.360550942
578	0.8497191011	0.3603725851
579	0.8497191011	0.3602149704
580	0.8497191011	0.3600210115
581	0.8497191011	0.359960532
582	0.8497191011	0.3598607947
583	0.8497191011	0.3595259117
584	0.8497191011	0.3594412398
585	0.8511235955	0.3592916227
586	0.8511235955	0.3591321335
587	0.8497191011	0.3590698783
588	0.8497191011	0.3587738619
589	0.8497191011	0.3586946755
590	0.8497191011	0.3585865272
591	0.8497191011	0.3584295623
592	0.8497191011	0.3582160642
593	0.8497191011	0.3582053396
594	0.8511235955	0.3580057068
595	0.8511235955	0.3579075129
596	0.8511235955	0.3575981818
597	0.8511235955	0.3574082094
598	0.8511235955	0.3573159872
599	0.8511235955	0.3571211127
600	0.8511235955	0.3570699455
601	0.8511235955	0.356948812
602	0.8511235955	0.3568055911
603	0.8511235955	0.3567858712
604	0.8511235955	0.3565901219
605	0.8511235955	0.3565100334
606	0.8511235955	0.3564122363
607	0.8511235955	0.3563145795
608	0.8511235955	0.3560996482
609	0.8511235955	0.3560443386
610	0.8511235955	0.3557250537
611	0.8511235955	0.3556848115
612	0.8511235955	0.3556695754
613	0.8511235955	0.3555073166
614	0.8511235955	0.3553242165
615	0.8511235955	0.3552715036
616	0.8511235955	0.35515023
617	0.8525280899	0.3550361022
618	0.8525280899	0.3548098158
619	0.8525280899	0.3547194067
620	0.8511235955	0.3545360793
621	0.8511235955	0.3542731098
622	0.8511235955	0.3542596896
623	0.8525280899	0.3540462364
